A,B,countA,countB,countAB,confA2B,confB2A,lift
BEE ST,SMITH ST,7,14,5,0.7143,0.3571,7.2959
E BAY ST,VANDERHORST ST,10,10,5,0.5000,0.5000,7.1500
CANNON ST,SHEPPARD ST,10,11,5,0.5000,0.4545,6.5000
SMITH ST,VANDERHORST ST,14,10,6,0.4286,0.6000,6.1286
CANNON PARK,SEPTIMA P CLARK PKWY,10,12,5,0.5000,0.4167,5.9583
BEAUFAIN ST,COMING ST,14,9,5,0.3571,0.5556,5.6746
CHERRY ST,DRAKE ST,15,9,5,0.3333,0.5556,5.2963
BEAUFAIN ST,CANNON ST,14,10,5,0.3571,0.5000,5.1071
AMERICA ST,VANDERHORST ST,15,10,5,0.3333,0.5000,4.7667
RUTLEDGE AVE,VANDERHORST ST,31,10,10,0.3226,1.0000,4.6129
BOGARD ST,FISHBURNE ST,6,27,5,0.8333,0.1852,4.4136
COMING ST,OGIER ST,9,18,5,0.5556,0.2778,4.4136
COMING ST,N MARKET ST,9,19,5,0.5556,0.2632,4.1813
PRESIDENT ST,SEPTIMA P CLARK PKWY,20,12,7,0.3500,0.5833,4.1708
OGIER ST,VANDERHORST ST,18,10,5,0.2778,0.5000,3.9722
COMING ST,PRESIDENT ST,9,20,5,0.5556,0.2500,3.9722
BEE ST,RUTLEDGE AVE,7,31,6,0.8571,0.1935,3.9539
BOGARD ST,RUTLEDGE AVE,6,31,5,0.8333,0.1613,3.8441
CANNON ST,N MARKET ST,10,19,5,0.5000,0.2632,3.7632
BEAUFAIN ST,N MARKET ST,14,19,7,0.5000,0.3684,3.7632
E BAY ST,RUTLEDGE AVE,10,31,8,0.8000,0.2581,3.6903
CANNON ST,RUTLEDGE AVE,10,31,8,0.8000,0.2581,3.6903
BULL ST,GADSDEN ST,15,21,8,0.5333,0.3810,3.6317
CANNON PARK,PRESIDENT ST,10,20,5,0.5000,0.2500,3.5750
CALHOUN ST,COMING ST,36,9,8,0.2222,0.8889,3.5309
AMERICA ST,BEAUFAIN ST,15,14,5,0.3333,0.3571,3.4048
N MARKET ST,S MARKET ST,19,38,17,0.8947,0.4474,3.3670
CALHOUN ST,SEPTIMA P CLARK PKWY,36,12,10,0.2778,0.8333,3.3102
AMERICA ST,OGIER ST,15,18,6,0.4000,0.3333,3.1778
N MARKET ST,SEPTIMA P CLARK PKWY,19,12,5,0.2632,0.4167,3.1360
DRAKE ST,RUTLEDGE AVE,9,31,6,0.6667,0.1935,3.0753
CHERRY ST,N MARKET ST,15,19,6,0.4000,0.3158,3.0105
N MARKET ST,PRESIDENT ST,19,20,8,0.4211,0.4000,3.0105
RUTLEDGE AVE,SMITH ST,31,14,9,0.2903,0.6429,2.9654
BARRE ST,GADSDEN ST,23,21,10,0.4348,0.4762,2.9607
RUTLEDGE AVE,SHEPPARD ST,31,11,7,0.2258,0.6364,2.9355
GADSDEN ST,SMITH ST,21,14,6,0.2857,0.4286,2.9184
BEAUFAIN ST,GADSDEN ST,14,21,6,0.4286,0.2857,2.9184
BENNETT ST,OGIER ST,14,18,5,0.3571,0.2778,2.8373
BEAUFAIN ST,OGIER ST,14,18,5,0.3571,0.2778,2.8373
ASHLEY AVE,COMING ST,45,9,8,0.1778,0.8889,2.8247
OGIER ST,RUTLEDGE AVE,18,31,11,0.6111,0.3548,2.8190
CALHOUN ST,CANNON ST,36,10,7,0.1944,0.7000,2.7806
CALHOUN ST,CANNON PARK,36,10,7,0.1944,0.7000,2.7806
ASHLEY AVE,BENNETT ST,45,14,12,0.2667,0.8571,2.7238
BARRE ST,BENNETT ST,23,14,6,0.2609,0.4286,2.6646
BARRE ST,SMITH ST,23,14,6,0.2609,0.4286,2.6646
CHERRY ST,OGIER ST,15,18,5,0.3333,0.2778,2.6481
FISHBURNE ST,LOCKWOOD DR,27,12,6,0.2222,0.5000,2.6481
CALHOUN ST,DRAKE ST,36,9,6,0.1667,0.6667,2.6481
BEAUFAIN ST,RUTLEDGE AVE,14,31,8,0.5714,0.2581,2.6359
ASHLEY AVE,SHEPPARD ST,45,11,9,0.2000,0.8182,2.6000
CALHOUN ST,PRESIDENT ST,36,20,13,0.3611,0.6500,2.5819
PRESIDENT ST,SMITH ST,20,14,5,0.2500,0.3571,2.5536
ASHLEY AVE,E BAY ST,45,10,8,0.1778,0.8000,2.5422
ASHLEY AVE,VANDERHORST ST,45,10,8,0.1778,0.8000,2.5422
CALHOUN ST,SHEPPARD ST,36,11,7,0.1944,0.6364,2.5278
COMING ST,S MARKET ST,9,38,6,0.6667,0.1579,2.5088
OGIER ST,S MARKET ST,18,38,12,0.6667,0.3158,2.5088
AMERICA ST,N MARKET ST,15,19,5,0.3333,0.2632,2.5088
N MARKET ST,OGIER ST,19,18,6,0.3158,0.3333,2.5088
CHERRY ST,S MARKET ST,15,38,10,0.6667,0.2632,2.5088
AMERICA ST,BARRE ST,15,23,6,0.4000,0.2609,2.4870
BARRE ST,BULL ST,23,15,6,0.2609,0.4000,2.4870
ASHLEY AVE,OGIER ST,45,18,14,0.3111,0.7778,2.4716
ASHLEY AVE,RUTLEDGE AVE,45,31,24,0.5333,0.7742,2.4602
BARRE ST,OGIER ST,23,18,7,0.3043,0.3889,2.4179
FISHBURNE ST,SHEPPARD ST,27,11,5,0.1852,0.4545,2.4074
FISHBURNE ST,RUTLEDGE AVE,27,31,14,0.5185,0.4516,2.3919
BULL ST,PRESIDENT ST,15,20,5,0.3333,0.2500,2.3833
BENNETT ST,RUTLEDGE AVE,14,31,7,0.5000,0.2258,2.3065
CALHOUN ST,N MARKET ST,36,19,11,0.3056,0.5789,2.2997
ASHLEY AVE,BEAUFAIN ST,45,14,10,0.2222,0.7143,2.2698
AMERICA ST,GADSDEN ST,15,21,5,0.3333,0.2381,2.2698
GADSDEN ST,OGIER ST,21,18,6,0.2857,0.3333,2.2698
ASHLEY AVE,BEE ST,45,7,5,0.1111,0.7143,2.2698
E BAY ST,S MARKET ST,10,38,6,0.6000,0.1579,2.2579
CONCORD ST,WASHINGTON ST,6,53,5,0.8333,0.0943,2.2484
BOGARD ST,WASHINGTON ST,6,53,5,0.8333,0.0943,2.2484
ASHLEY AVE,CANNON ST,45,10,7,0.1556,0.7000,2.2244
CALHOUN ST,OGIER ST,36,18,10,0.2778,0.5556,2.2068
CANNON PARK,WASHINGTON ST,10,53,8,0.8000,0.1509,2.1585
AMERICA ST,RUTLEDGE AVE,15,31,7,0.4667,0.2258,2.1527
BULL ST,RUTLEDGE AVE,15,31,7,0.4667,0.2258,2.1527
BEAUFAIN ST,S MARKET ST,14,38,8,0.5714,0.2105,2.1504
BULL ST,FISHBURNE ST,15,27,6,0.4000,0.2222,2.1185
ASHLEY AVE,DRAKE ST,45,9,6,0.1333,0.6667,2.1185
DRAKE ST,S MARKET ST,9,38,5,0.5556,0.1316,2.0906
PRESIDENT ST,RUTLEDGE AVE,20,31,9,0.4500,0.2903,2.0758
BARRE ST,CALHOUN ST,23,36,12,0.5217,0.3333,2.0725
FISHBURNE ST,OGIER ST,27,18,7,0.2593,0.3889,2.0597
AMERICA ST,S MARKET ST,15,38,8,0.5333,0.2105,2.0070
BARRE ST,RUTLEDGE AVE,23,31,10,0.4348,0.3226,2.0056
